location.location_num,location.location_name,location.address_1,location.address_2,location.address_3,location.zipcode,location.location_status,location.operator_guid,location.concept_type_code,location.location_type_code,location.service_team_name,location.operator_team_name,location.market_name,location.business_consultant_guid,location.gmt_offset,location.gps_latitude,location.gps_longitude,location.has_dining_room,location.has_drive_thru,location.drv_thru_num_approach_lanes,location.drv_thru_num_order_points,location.drv_thru_num_pickup_windows,location.offers_wireless,location.playground,location.rpp_mobile_payment,location.rpp_mobile_ordering,location.rpp_alist,location.rpp_serves_breakfast,location.rpp_serves_limited_menu,location.rpp_delivery,location.rpp_catering
3305,Terminated Miracle Mile Wilshire (Los Angeles) FSU,5126 Wilshire Blvd,,,90036-4313,never opened,,CFA,FSU,,,Los Angeles  CA,,,34.06215,-118.34177,N,N,0,,,N,none,,,,,,,
3308,Rincon FSU,5440 Ga Highway 21 S,,,31326-9407,future,,CFA,FSU,SE Region Team #2,Low Country,,7e5584ea022c49e3a792d3f9d8969b44,,32.27572,-81.22946,N,N,0,,,N,none,,,,,,,
3315,Christiana FSU,RR 4,,,19702-9804,future,,CFA,FSU,NE Region Team #1,Delaware North,Philadelphia  PA,3a18118a1c6f324595bf21cfac0862d0,,39.68635,-75.67826,N,Y,2,2,1,N,none,,,,,,,
3316,Chantilly FSU,Willard Road @ Brookfield Corporate Drive,,,20151,never opened,,CFA,FSU,Southwest Team 4,Washington D.C.,Washington  DC (Hagerstown  MD),,,38.8862,-77.4418,N,N,0,,,N,none,,,,,,,
3322,Beltway 8 & Bellaire FSU,6840 W Sam Houston Pkwy S,,,77072-5216,future,,CFA,FSU,SW Region Team #2,Houston South,Houston  TX,3757847305444afbb9d2b5c0087ee73e,,29.7042,-95.5579,N,Y,2,2,1,N,interior,,,,,,,
80530,North Mississippi Medical Center,830 S Gloster St,,,38801-4934,open,f440ba39deed4e69955ccdf7f4f0115a,LIC,HOSP,SE Region Team #3,Northeast Mississipp,Columbus-Tupelo-West Point-Houston  MS,7ed5b505851f4242808f33a4f30e2ba2,,34.243016,-88.717019,N,N,,,,N,none,,,,,,,
3329,Webster and Main FSU,Webster and Main Street,,,,never opened,,CFA,FSU,SW Region Team #2,Houston Central,Houston  TX,60699aaf6c739d438b8209f94aaaea5b,,29.7482,-95.3725,N,N,0,,,N,none,,,,,,,
3332,Draper FSU,357 E 12300 S,,,84020-9504,future,ccb3646e832d68449527852c57b1a467,CFA,FSU,West Region Team #1,Utah South,Salt Lake City  UT,8be2561e6bc4a942b95488caff08ab1e,,40.52711,-111.88064,N,Y,1,2,1,N,interior,,,,,,,
3342,Termianted - Ames FSU,710 S Duff Ave,,,50010-6810,never opened,,CFA,FSU,MW Region Team #1,Omaha/Western Iowa,Des Moines-Ames  IA,566bbb05c9fd42e5b1d7ee3930efdbff,,42.01516,-93.60966,N,N,,,,N,none,,,,,,,
3354,Terminated - West Evansville FSU,SR 62 at Rosenberger Ave.,,,47712,never opened,,CFA,FSU,,,Evansville  IN,,,37.97806,-87.62965,N,N,,,,N,none,,,,,,,
